Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1000534;2НДФЛ;Ремонт;1;0.36;женский;0;0;высшее;менеджер среднего звена;< 50;3;40;33;Торговля;ЗАО;женат / замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;8;1;0;0;17;17;0;0;0;0;0;0;0
14;1000554;2НДФЛ;Ремонт;1;0.32;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;102;33;Информационные технологии;ЗАО;женат / замужем;3;2;1;1;1;0.074906367;0;2;2;1;0.3333333333;5;10;247;15;2;0;1;86;1;1;0;0;0;0;0
14;1000574;Форма банка (без печати работодателя);Ремонт;1;0.18;женский;0;0;высшее;специалист;>250;0;32;28;Торговля;ООО;женат / замужем;0;0;0;0;0;0.1904761905;0;0;0;0;1;2;0;17;2;1;0;18;19;1;0;0;0;0;0;0
14;1000594;Поступление зарплаты на счет;Покупка автомобиля;1;0.4;женский;0;0;высшее;менеджер среднего звена;>250;1;16;28;Другое;ООО;холост / не замужем;2;1;0;0;0;0;1;0;0;0;0;0;3;80;3;0;1;18;53;0;0;0;0;0;0;0
14;1000614;Поступление зарплаты на счет;Покупка мебели;0;0.34;женский;0;0;высшее;специалист;>250;1;13;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000634;Поступление зарплаты на счет;Другое;0;0.33;мужской;0;0;среднее;специалист;>250;0;12;29;Другое;ООО;холост / не замужем;2;2;2;2;0;0.1333333333;0;0;0;0;0;0;2;13;2;0;0;10;17;1;0;0;0;0;0;0
14;1000654;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.45;мужской;0;0;незаконченное высшее;вспомогательный персонал;>250;0;11;27;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000674;;Покупка недвижимости/ строительство;0;;женский;1;0;второе высшее;другое;;1;81;51;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000694;Поступление зарплаты на счет;Отпуск;1;0.39;женский;0;0;высшее;специалист;>250;0;52;32;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0404040404;1;0;0;0;0.6;3;2;95;5;2;2;11;59;1;0;0;0;0;0;0
14;1000714;2НДФЛ;Покупка недвижимости/ строительство;1;0.43;женский;2;0;среднее-специальное;рабочий;>250;0;7;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000734;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;высшее;менеджер среднего звена;>250;1;110;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000754;Форма банка (без печати работодателя);Ремонт;1;0.07;мужской;1;0;высшее;менеджер среднего звена;>250;0;24;38;Информационные технологии;ОАО;разведен / разведена;0;0;0;0;0;0;0;0;0;0;1;1;0;6;1;0;0;6;6;0;0;0;0;0;0;0
14;1000774;2НДФЛ;Ремонт;0;0.23;женский;1;0;высшее;специалист;< 50;0;94;44;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000794;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.43;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;32;42;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.4210526316;1;0;0;0;0.25;1;3;22;4;0;0;30;114;1;1;1;1;0;0;0
14;1000814;Форма банка (без печати работодателя);Отпуск;1;0.59;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;6;42;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000834;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.17;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000854;2НДФЛ;Ремонт;0;0.57;женский;1;0;высшее;менеджер по продажам;< 50;1;56;29;Торговля;ООО;разведен / разведена;0;0;0;0;0;0;1;2;0;0;1;5;0;113;5;2;0;4;48;0;0;0;0;0;0;0
14;1000874;Поступление зарплаты на счет;Ремонт;1;0.39;мужской;0;0;высшее;специалист;>250;0;15;40;Торговля;ООО;холост / не замужем;3;1;1;1;0;0;1;2;2;1;0.6363636364;7;4;133;11;4;0;0;36;0;0;0;0;0;0;0
