Номер варианта,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,cluster
14,1000354,2,1,1.0,0.14,0,0,0,4,9,3,0.0,10.0,27.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000374,4,9,0.0,0.26,0,0,0,4,7,3,0.0,32.0,33.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000394,2,9,1.0,0.41,1,0,0,7,6,3,0.0,8.0,23.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000414,3,9,1.0,0.37,1,1,0,4,4,7,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000434,0,9,0.0,0.21,1,0,0,4,5,3,1.0,92.0,29.0,2,2,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,4.0,4.0,38.0,8.0,4.0,1.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000454,2,9,1.0,0.18,1,2,0,7,1,3,0.0,98.0,38.0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000474,2,9,1.0,0.37,1,2,0,1,5,3,0.0,116.0,35.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000494,4,9,0.0,0.16,0,1,0,4,7,1,0.0,17.0,36.0,7,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000514,3,8,1.0,0.36,1,2,0,7,1,1,3.0,17.0,34.0,8,6,3,0.0,0.0,0.0,0.0,0.0,0.0303030303,0.0,0.0,0.0,0.0,0.25,1.0,3.0,32.0,4.0,0.0,0.0,14.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000534,0,9,1.0,0.36,0,0,0,4,5,1,3.0,40.0,33.0,8,2,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000554,0,9,1.0,0.32,1,0,0,1,7,3,0.0,102.0,33.0,3,2,3,3.0,2.0,1.0,1.0,1.0,0.074906367,0.0,2.0,2.0,1.0,0.3333333333,5.0,10.0,247.0,15.0,2.0,0.0,1.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
